nadpis,autor,link
The art and science of technical analysis,Adam Grimes,https://books.google.sk/books?id=OmaeIdd95EQC&lpg=PP1&pg=PP1#v=onepage&q&f=false
Technická analýza na akciových menových a komoditních trzích,Jitka Veselá a Martin Oliva,https://www.martinus.sk/?uItem=223790
